Date,Organization,Region,Product_Category,Product_Name,Units_Sold,Revenue,Cost,Profit,Inventory_Level,Promotion,Holiday
2023-11-06,Global Mart,East,Grocery,T-Shirt,242,1051248,613124.88,438123.12,3926,No,No
2024-04-08,ABC Retail,East,Electronics,Sofa,471,2129862,1432520.18,697341.82,2565,No,No
2023-03-11,Future Bazaar,South,Fashion,Air Conditioner,141,287640,239556.47,48083.53,3941,No,No
2025-09-12,ABC Retail,Central,Furniture,T-Shirt,368,1293152,1062966.26,230185.74,3881,Yes,No
2024-05-29,Prime Wholesale,North,Grocery,Mouse,454,1075980,905177.77,170802.23,3452,Yes,No
2025-03-13,ABC Retail,West,Fashion,Air Conditioner,428,600484,495219.01,105264.99,4713,No,Yes
2024-11-13,Future Bazaar,North,Grocery,Office Chair,323,452523,360479.43,92043.57,2744,No,No
2023-07-09,Global Mart,East,Fashion,Sofa,204,97104,68853.97,28250.03,1880,No,No
2024-08-15,Prime Wholesale,West,Appliances,Washing Machine,69,155388,91166.96,64221.04,1607,No,No
2023-10-07,XYZ Stores,West,Appliances,Sofa,22,66242,49891.05,16350.95,3185,Yes,Yes
2024-02-26,Prime Wholesale,West,Fashion,Table,155,155620,114740.95,40879.05,3644,No,No
2025-08-24,XYZ Stores,Central,Electronics,Dining Table,203,145754,106235.73,39518.27,3667,No,No
2023-08-16,Future Bazaar,Central,Fashion,Smartphone,199,820477,696775.43,123701.57,1070,No,No
2024-07-06,ABC Retail,East,Fashion,Laptop,407,1167683,928466.68,239216.32,925,Yes,No
2024-08-23,XYZ Stores,Central,Grocery,Table,29,66352,54796.62,11555.38,1405,No,No
2023-05-25,ABC Retail,South,Fashion,Dining Table,86,107672,83770.67,23901.33,3155,No,No
2024-07-06,XYZ Stores,West,Grocery,Laptop,320,982720,600558.48,382161.52,3891,No,No
2023-04-04,XYZ Stores,North,Furniture,Rice 10kg,323,667318,407789.42,259528.58,97,No,No
2025-06-23,ABC Retail,East,Electronics,Office Chair,404,1304920,854417.47,450502.53,4595,No,No
2024-03-08,XYZ Stores,North,Fashion,Sofa,177,621447,508288.09,113158.91,3535,No,No
2025-02-27,Global Mart,East,Electronics,Laptop,247,236379,163803.74,72575.26,3029,No,No
2025-05-30,Global Mart,North,Appliances,Keyboard,78,351234,217051.68,134182.32,763,No,No
2023-01-31,Global Mart,East,Fashion,Washing Machine,402,2007990,1273054.64,734935.36,3629,No,No
2025-02-14,Prime Wholesale,South,Electronics,Refrigerator,235,1096510,650410.07,446099.93,2141,Yes,No
2024-04-03,Global Mart,East,Electronics,Keyboard,376,718160,473183.52,244976.48,2645,No,No
2024-05-02,Global Mart,South,Furniture,Dining Table,311,348009,260876.93,87132.07,1877,No,No
2023-03-06,Future Bazaar,Central,Electronics,Office Chair,72,66168,43312.02,22855.98,2348,No,No
2025-08-12,Prime Wholesale,Central,Electronics,Office Chair,319,1289079,869637.3,419441.7,1297,Yes,No
2023-01-13,Global Mart,East,Grocery,Office Chair,317,1523185,922641.5,600543.5,2123,No,No
2025-11-16,Future Bazaar,West,Appliances,Smartphone,114,459078,308145.92,150932.08,3691,No,No
2024-03-24,ABC Retail,West,Furniture,Mouse,63,97650,61419.22,36230.78,2333,Yes,No
2024-09-18,ABC Retail,North,Electronics,Dining Table,256,165888,110531.71,55356.29,3220,Yes,No
2023-12-19,XYZ Stores,Central,Grocery,Dining Table,71,248571,145240.77,103330.23,1389,Yes,No
2025-05-18,Global Mart,North,Furniture,Sofa,195,735930,484291.86,251638.14,3995,Yes,No
2023-06-16,Global Mart,North,Furniture,Office Chair,394,1498382,1184719.17,313662.83,1417,No,No
2023-11-05,ABC Retail,East,Fashion,Office Chair,355,1478575,1033304.91,445270.09,796,No,No
2025-07-13,ABC Retail,West,Furniture,T-Shirt,242,302984,251424.65,51559.35,3265,No,No
2025-12-12,Global Mart,East,Appliances,Office Chair,344,1669776,1198933.96,470842.04,961,Yes,No
2025-08-13,Global Mart,West,Fashion,Office Chair,277,998308,773980.24,224327.76,3930,No,No
2024-05-20,Global Mart,South,Furniture,Printer,478,238044,145562.58,92481.42,3306,Yes,No
2025-08-20,Future Bazaar,West,Fashion,Smartphone,384,183168,146441.12,36726.88,3363,No,Yes
2025-08-20,Prime Wholesale,East,Fashion,Mouse,291,1418334,794469.36,623864.64,2573,No,No
2024-12-14,ABC Retail,West,Fashion,Mouse,270,999540,822104.86,177435.14,2268,No,No
2024-06-07,Prime Wholesale,South,Electronics,Rice 10kg,224,856352,520319.96,336032.04,2558,No,No
2025-03-06,XYZ Stores,East,Appliances,Washing Machine,118,180658,104499.02,76158.98,1990,Yes,No
2024-01-01,Global Mart,South,Grocery,Printer,289,670769,439357.24,231411.76,651,No,No
2023-12-13,Prime Wholesale,Central,Furniture,Refrigerator,175,529725,416994.23,112730.77,1073,No,Yes
2025-06-15,XYZ Stores,West,Appliances,Dining Table,147,291795,171589.89,120205.11,3228,No,No
2023-07-21,XYZ Stores,South,Fashion,Dining Table,118,559084,319121.33,239962.67,2087,Yes,No
2024-04-15,Global Mart,West,Fashion,Mouse,369,221031,124168.94,96862.06,1307,Yes,No
2025-07-29,XYZ Stores,West,Electronics,Sofa,122,198128,121694.2,76433.8,1854,Yes,No
2024-08-17,ABC Retail,East,Grocery,Sofa,33,14916,10930.25,3985.75,4803,No,No
2025-04-13,Global Mart,South,Furniture,Refrigerator,221,254150,186629.19,67520.81,1952,No,No
2025-12-01,Future Bazaar,South,Electronics,Keyboard,174,671118,542570.43,128547.57,2469,No,No
2023-12-31,ABC Retail,North,Grocery,Printer,46,198444,132253.56,66190.44,3415,Yes,No
2024-03-23,Global Mart,West,Grocery,Monitor,139,396289,334012.95,62276.05,4620,No,No
2023-10-28,ABC Retail,North,Grocery,Office Chair,158,516028,303682.44,212345.56,728,No,No
2024-11-20,ABC Retail,Central,Grocery,Rice 10kg,353,45184,32187.67,12996.33,4247,No,No
2023-05-17,Prime Wholesale,Central,Fashion,Sofa,499,1926140,1291574.4,634565.6,1423,Yes,No
2024-11-08,XYZ Stores,East,Grocery,Office Chair,237,904629,584587.32,320041.68,1212,No,No
2023-12-12,Prime Wholesale,West,Electronics,Keyboard,479,1362276,1060566.85,301709.15,3990,Yes,No
2025-01-21,Future Bazaar,South,Appliances,Refrigerator,76,144628,115345.01,29282.99,3675,No,No
2025-11-15,ABC Retail,South,Grocery,Washing Machine,175,618975,378646.5,240328.5,1608,No,No
2024-02-29,Global Mart,East,Grocery,Dining Table,358,1732004,1308275.9,423728.1,3298,No,No
2023-05-03,XYZ Stores,East,Electronics,Keyboard,401,1362598,1014404.49,348193.51,2609,No,No
2023-02-15,XYZ Stores,North,Grocery,Dining Table,159,761292,589910.41,171381.59,2334,No,No
2023-03-05,Future Bazaar,East,Electronics,Keyboard,288,42912,30110.43,12801.57,4394,Yes,No
2025-01-30,XYZ Stores,South,Fashion,Sofa,403,1157819,859223.62,298595.38,1464,Yes,No
2023-03-04,XYZ Stores,West,Fashion,Mouse,11,31339,25729.03,5609.97,1878,Yes,Yes
2023-11-12,Future Bazaar,North,Furniture,Sofa,251,892305,636696.6,255608.4,1839,No,No
2024-11-26,ABC Retail,West,Appliances,Refrigerator,62,252588,184222.75,68365.25,4552,No,No
2023-03-02,Future Bazaar,East,Furniture,Dining Table,140,85680,70066.59,15613.41,1849,No,No
2025-07-17,Global Mart,West,Furniture,Sofa,434,900984,521384.11,379599.89,3843,No,No
2024-05-05,Global Mart,West,Electronics,Office Chair,330,346500,237060.54,109439.46,1148,No,Yes
2025-10-20,Future Bazaar,North,Grocery,Printer,169,668395,373528.05,294866.95,1697,Yes,No
2025-03-06,Prime Wholesale,South,Electronics,Air Conditioner,459,413559,313669.33,99889.67,4078,No,No
2024-05-05,XYZ Stores,North,Grocery,Laptop,362,806536,682479.5,124056.5,789,No,No
2024-04-24,Future Bazaar,South,Grocery,Monitor,93,79422,55828.95,23593.05,154,No,No
2025-03-05,ABC Retail,South,Electronics,Sofa,402,857064,548369.13,308694.87,739,Yes,No
2023-11-06,XYZ Stores,South,Grocery,Sofa,134,515364,377120.36,138243.64,2722,No,No
2024-07-28,XYZ Stores,West,Electronics,Dining Table,493,1207357,750926.16,456430.84,352,No,No
2023-07-20,XYZ Stores,South,Fashion,Sofa,96,89184,64795.05,24388.95,2232,No,No
2024-08-17,Global Mart,West,Furniture,Washing Machine,222,196692,157849.0,38843.0,2517,No,No
2023-10-17,Global Mart,East,Electronics,Laptop,119,228004,153924.79,74079.21,1971,Yes,No
2024-12-28,XYZ Stores,North,Appliances,Monitor,325,1406275,821514.24,584760.76,2702,No,No
2025-01-17,Future Bazaar,Central,Electronics,Table,352,151712,107841.45,43870.55,578,No,No
2024-12-16,XYZ Stores,West,Electronics,Air Conditioner,442,1540370,1032095.98,508274.02,2886,No,No
2025-09-09,XYZ Stores,North,Furniture,Smartphone,268,1178664,791997.78,386666.22,3618,No,No
2023-01-21,Prime Wholesale,North,Fashion,Mouse,494,627874,528192.2,99681.8,1398,No,No
2024-01-02,Future Bazaar,North,Furniture,Rice 10kg,230,1017290,573583.2,443706.8,2220,Yes,No
2023-01-03,Future Bazaar,Central,Appliances,Office Chair,257,92777,54586.33,38190.67,2869,No,Yes
2024-04-23,Future Bazaar,Central,Appliances,Mouse,66,180972,148074.53,32897.47,4230,Yes,No
2024-05-23,Future Bazaar,South,Grocery,Refrigerator,381,1291209,923963.01,367245.99,4916,Yes,No
2024-10-31,Future Bazaar,Central,Appliances,Refrigerator,284,866484,541500.4,324983.6,2387,No,Yes
2025-12-01,ABC Retail,East,Electronics,Refrigerator,97,26675,16391.44,10283.56,258,Yes,Yes
2025-04-26,XYZ Stores,Central,Grocery,Smartphone,367,1421758,824944.48,596813.52,1167,No,No
2024-06-11,Prime Wholesale,South,Grocery,Keyboard,164,541528,434460.42,107067.58,3391,Yes,No
2025-07-02,XYZ Stores,East,Furniture,Refrigerator,226,797328,536218.74,261109.26,3452,No,No
2025-10-17,ABC Retail,South,Appliances,Laptop,36,118188,97868.93,20319.07,1183,Yes,No
2023-09-24,ABC Retail,South,Grocery,Laptop,275,210925,123245.32,87679.68,4470,No,No
2023-12-10,XYZ Stores,East,Electronics,Mouse,214,32956,24883.65,8072.35,1864,No,No
2025-09-30,ABC Retail,North,Electronics,Printer,437,1894832,1110229.24,784602.76,1999,Yes,No
2025-11-20,Global Mart,North,Fashion,Keyboard,288,891360,701588.77,189771.23,2189,Yes,No
2024-04-23,Prime Wholesale,Central,Electronics,Refrigerator,117,471159,296786.1,174372.9,4774,Yes,No
2025-09-18,Global Mart,North,Furniture,Air Conditioner,430,546960,308568.66,238391.34,3234,Yes,No
2024-05-25,Global Mart,South,Electronics,Rice 10kg,450,789750,669051.26,120698.74,3094,Yes,Yes
2024-01-31,Future Bazaar,Central,Appliances,Refrigerator,84,77868,46321.56,31546.44,841,No,No
2024-05-05,ABC Retail,North,Grocery,Air Conditioner,104,223392,146380.03,77011.97,4071,Yes,No
2024-07-05,Future Bazaar,East,Fashion,Air Conditioner,228,350892,224389.59,126502.41,4481,Yes,No
2025-04-28,Future Bazaar,South,Appliances,Laptop,176,287760,216530.98,71229.02,78,No,No
2025-10-03,Global Mart,Central,Appliances,Sofa,132,649440,364220.24,285219.76,4011,Yes,Yes
2023-11-27,Global Mart,Central,Grocery,Table,406,196504,123611.72,72892.28,896,Yes,No
2025-12-03,ABC Retail,North,Electronics,T-Shirt,70,104020,87084.68,16935.32,3909,No,No
2025-10-17,Global Mart,East,Grocery,Sofa,252,1100988,752764.25,348223.75,3846,No,No
2023-06-11,Prime Wholesale,South,Electronics,Rice 10kg,88,249744,189860.81,59883.19,2877,Yes,Yes
2024-11-26,Global Mart,South,Appliances,Monitor,274,338390,258716.25,79673.75,3553,No,No
2024-01-25,Future Bazaar,East,Furniture,Sofa,172,543176,410546.41,132629.59,3458,No,No
2023-06-08,Prime Wholesale,North,Appliances,Table,281,753080,605366.72,147713.28,1873,Yes,No
2023-12-25,XYZ Stores,East,Grocery,Printer,238,712572,565490.81,147081.19,1313,Yes,No
2025-04-27,XYZ Stores,North,Electronics,Sofa,286,703846,594759.37,109086.63,2461,Yes,No
2024-07-03,Prime Wholesale,North,Electronics,Smartphone,344,403512,302697.55,100814.45,1240,No,No
2024-08-12,Prime Wholesale,Central,Fashion,Printer,444,608724,516792.48,91931.52,1817,Yes,No
2024-11-13,ABC Retail,South,Appliances,Monitor,118,284498,230896.36,53601.64,4032,No,No
2025-12-20,Global Mart,West,Electronics,Washing Machine,34,6018,5087.23,930.77,3344,No,No
2025-05-25,Global Mart,West,Furniture,Printer,365,1065800,765080.14,300719.86,728,No,No
2025-09-11,Future Bazaar,East,Grocery,T-Shirt,278,617994,381292.86,236701.14,1442,No,No
2023-08-18,Future Bazaar,North,Fashion,Smartphone,143,246103,199654.34,46448.66,2505,Yes,No
2025-02-07,Future Bazaar,East,Appliances,Laptop,24,15480,12184.83,3295.17,4912,Yes,No
2025-07-16,Future Bazaar,North,Grocery,Washing Machine,216,597456,411210.21,186245.79,3254,Yes,Yes
2023-02-25,Future Bazaar,South,Grocery,Dining Table,217,488467,395742.5,92724.5,4548,No,No
2023-01-10,Prime Wholesale,Central,Appliances,Monitor,107,448758,379481.77,69276.23,1581,Yes,Yes
2025-04-21,Global Mart,Central,Furniture,Washing Machine,335,1201310,904521.5,296788.5,1109,No,No
2025-08-12,Prime Wholesale,South,Grocery,Dining Table,191,806593,471879.95,334713.05,4254,No,No
2023-07-29,Prime Wholesale,North,Fashion,Refrigerator,351,1130220,796240.55,333979.45,4041,No,No
2025-11-09,Global Mart,Central,Grocery,Washing Machine,193,116186,92064.33,24121.67,4810,No,No
2023-10-22,Prime Wholesale,South,Appliances,Monitor,48,13728,9432.03,4295.97,2803,No,No
2024-10-14,Global Mart,West,Electronics,Printer,191,638131,495878.32,142252.68,1358,No,Yes
2025-03-01,Prime Wholesale,North,Grocery,Air Conditioner,281,184055,118252.72,65802.28,3250,No,No
2024-03-25,Future Bazaar,Central,Electronics,Printer,426,357840,281542.79,76297.21,2312,No,No
2024-11-11,XYZ Stores,Central,Furniture,Monitor,37,143301,100994.03,42306.97,4812,No,No
2023-02-19,ABC Retail,East,Appliances,Mouse,198,438372,254818.64,183553.36,3281,No,No
2023-09-23,ABC Retail,South,Electronics,Refrigerator,267,977754,782141.94,195612.06,122,No,No
2024-04-27,Future Bazaar,Central,Fashion,Refrigerator,225,526950,403244.5,123705.5,2639,Yes,No
2025-08-12,ABC Retail,Central,Fashion,Keyboard,205,586710,404100.25,182609.75,359,Yes,No
2024-11-28,Future Bazaar,South,Grocery,Mouse,22,51832,42270.87,9561.13,2721,Yes,No
2024-12-14,Future Bazaar,South,Appliances,Keyboard,194,386448,253574.3,132873.7,1696,No,No
2025-02-11,Global Mart,North,Appliances,Smartphone,59,112454,77158.8,35295.2,4868,Yes,No
2024-11-07,XYZ Stores,Central,Electronics,Smartphone,160,616960,519852.43,97107.57,4513,Yes,No
2023-01-17,XYZ Stores,South,Grocery,Rice 10kg,483,794535,543707.54,250827.46,4352,No,No
2024-01-19,Prime Wholesale,East,Furniture,Sofa,278,1368038,900122.35,467915.65,787,No,No
2024-08-28,Global Mart,South,Electronics,Office Chair,47,224801,139972.61,84828.39,2197,No,No
2024-08-12,Prime Wholesale,North,Furniture,Rice 10kg,207,426420,237719.15,188700.85,4155,Yes,No
2024-10-13,Prime Wholesale,East,Grocery,Printer,112,195552,131756.92,63795.08,3464,No,No
2024-10-28,Future Bazaar,Central,Grocery,Laptop,491,749757,568933.64,180823.36,2424,No,No
2025-10-18,Global Mart,West,Fashion,Table,369,1372680,1056021.48,316658.52,2093,No,No
2025-05-24,Prime Wholesale,Central,Fashion,Sofa,277,1215476,863613.96,351862.04,4603,No,No
2023-09-19,ABC Retail,South,Appliances,Washing Machine,193,909995,646089.99,263905.01,1589,No,No
2024-03-02,XYZ Stores,Central,Electronics,Printer,346,745976,581460.65,164515.35,3325,Yes,No
2023-03-19,ABC Retail,East,Furniture,Refrigerator,113,555282,453564.12,101717.88,4011,Yes,No
2024-09-01,Future Bazaar,West,Appliances,Sofa,400,808400,531804.64,276595.36,1797,No,No
2023-09-29,Future Bazaar,Central,Appliances,Air Conditioner,316,1422948,1114619.11,308328.89,1835,Yes,No
2025-11-17,Future Bazaar,Central,Fashion,Mouse,447,1660605,1011812.22,648792.78,2420,No,No
2023-08-02,XYZ Stores,North,Fashion,Table,163,196578,163452.85,33125.15,2226,Yes,No
2025-08-31,ABC Retail,West,Appliances,Rice 10kg,289,1294142,1076448.76,217693.24,4406,Yes,No
2025-09-10,Prime Wholesale,West,Appliances,Laptop,230,182160,132278.49,49881.51,2806,No,No
2023-06-23,Future Bazaar,Central,Electronics,Mouse,310,1299520,1024376.91,275143.09,1869,Yes,No
2024-01-13,Global Mart,West,Grocery,Dining Table,106,133454,101569.4,31884.6,4826,Yes,No
2025-03-23,Prime Wholesale,South,Fashion,Rice 10kg,236,351404,239670.79,111733.21,1587,Yes,No
2024-05-15,ABC Retail,Central,Electronics,Air Conditioner,224,473312,280349.11,192962.89,2598,No,Yes
2024-09-20,Global Mart,East,Electronics,Dining Table,219,234111,171523.16,62587.84,2438,No,No
2025-01-06,ABC Retail,East,Electronics,Refrigerator,126,560070,474598.74,85471.26,4060,No,No
2025-06-04,ABC Retail,North,Electronics,Refrigerator,238,692818,387671.65,305146.35,4722,Yes,Yes
2024-11-04,XYZ Stores,North,Furniture,Office Chair,479,2333209,1912153.38,421055.62,2715,No,No
2025-10-18,ABC Retail,North,Electronics,Keyboard,418,1198406,967908.87,230497.13,4390,Yes,No
2024-09-15,XYZ Stores,East,Furniture,Refrigerator,174,53940,39823.1,14116.9,2051,No,No
2023-01-20,XYZ Stores,South,Appliances,Laptop,198,452034,311686.92,140347.08,4304,No,No
2023-01-04,Prime Wholesale,North,Furniture,Monitor,302,516420,329528.32,186891.68,2380,No,No
2023-12-04,Prime Wholesale,South,Appliances,T-Shirt,231,128205,97672.16,30532.84,607,Yes,No
2023-06-06,Prime Wholesale,East,Furniture,T-Shirt,317,363599,257785.76,105813.24,1178,Yes,No
2023-12-05,ABC Retail,North,Appliances,Rice 10kg,217,276892,224844.52,52047.48,4564,No,No
2025-01-11,Future Bazaar,East,Electronics,T-Shirt,323,1288447,1008911.25,279535.75,3730,No,No
2025-11-19,Future Bazaar,South,Appliances,Sofa,117,248976,158065.19,90910.81,2080,No,Yes
2024-05-12,XYZ Stores,West,Furniture,Monitor,136,477904,366087.77,111816.23,4964,Yes,No
2025-10-01,Future Bazaar,Central,Electronics,Monitor,304,475152,335850.03,139301.97,1709,No,No
2024-09-12,Global Mart,East,Grocery,Monitor,159,785460,546444.67,239015.33,1558,No,No
2025-10-31,Prime Wholesale,Central,Grocery,Air Conditioner,495,549945,333399.91,216545.09,1484,No,No
2025-11-04,XYZ Stores,South,Grocery,Sofa,114,533292,363399.52,169892.48,4876,Yes,No
2023-06-21,XYZ Stores,South,Furniture,Printer,173,760162,478421.91,281740.09,2377,No,Yes
2023-06-03,ABC Retail,North,Grocery,Smartphone,231,428274,251619.05,176654.95,747,No,No
2024-03-18,ABC Retail,North,Appliances,Mouse,10,9080,7649.28,1430.72,2351,No,No
2023-11-02,XYZ Stores,Central,Appliances,Monitor,181,818663,525387.65,293275.35,3365,Yes,No
2023-07-03,Global Mart,South,Furniture,Washing Machine,124,549692,398883.08,150808.92,1805,No,No
2024-01-05,XYZ Stores,South,Electronics,Mouse,237,519267,359794.85,159472.15,1346,Yes,No
2023-08-21,XYZ Stores,Central,Grocery,Office Chair,426,155490,112033.25,43456.75,1415,No,Yes
2023-03-14,ABC Retail,West,Appliances,Rice 10kg,172,55384,46251.89,9132.11,3743,No,No
2025-05-10,XYZ Stores,South,Furniture,Rice 10kg,81,126360,107135.81,19224.19,3701,No,No
2024-07-01,ABC Retail,Central,Appliances,Printer,149,581994,320151.0,261843.0,2768,Yes,No
2025-01-05,Future Bazaar,South,Grocery,Smartphone,118,570884,364310.02,206573.98,4933,No,No
2025-02-15,Prime Wholesale,North,Furniture,Laptop,13,17693,9833.56,7859.44,2906,Yes,Yes
2025-10-04,Future Bazaar,Central,Grocery,T-Shirt,70,130270,92764.71,37505.29,2972,No,No
2024-01-18,Future Bazaar,East,Appliances,Air Conditioner,174,853296,511253.24,342042.76,2804,Yes,No
2024-02-04,XYZ Stores,East,Fashion,Monitor,66,87516,66174.29,21341.71,921,No,No
2024-12-04,Future Bazaar,East,Electronics,Rice 10kg,41,99015,79510.9,19504.1,439,No,No
2024-06-04,Prime Wholesale,Central,Fashion,Printer,371,58618,33530.66,25087.34,2786,No,No
2023-11-26,XYZ Stores,North,Fashion,T-Shirt,93,78492,59906.11,18585.89,4004,No,No
2025-06-18,Future Bazaar,South,Furniture,T-Shirt,249,499992,337542.1,162449.9,253,Yes,No
2023-04-18,ABC Retail,South,Electronics,Refrigerator,174,294060,186165.74,107894.26,1100,Yes,No
2024-03-24,Future Bazaar,South,Fashion,Monitor,341,582087,322755.7,259331.3,1070,Yes,No
2023-04-23,XYZ Stores,West,Electronics,Smartphone,82,209264,167957.35,41306.65,896,No,No
2023-02-21,Future Bazaar,West,Electronics,Laptop,385,153615,107969.35,45645.65,1742,Yes,Yes
2025-06-08,Global Mart,South,Grocery,Washing Machine,484,1028984,615784.9,413199.1,2344,No,No
2025-12-17,Global Mart,North,Grocery,Printer,346,854966,494494.87,360471.13,3608,Yes,No
2025-01-17,ABC Retail,West,Appliances,Printer,60,288720,242075.32,46644.68,4300,Yes,No
2025-05-13,ABC Retail,North,Grocery,Monitor,108,307692,201180.82,106511.18,586,Yes,Yes
2024-08-27,Future Bazaar,North,Furniture,Dining Table,59,260426,168086.0,92340.0,1039,No,No
2023-10-29,Global Mart,South,Appliances,Laptop,76,26296,17210.0,9086.0,3651,Yes,Yes
2024-05-20,ABC Retail,Central,Appliances,Laptop,132,247896,162189.78,85706.22,874,Yes,No
2023-06-16,ABC Retail,South,Electronics,Mouse,96,326112,275253.37,50858.63,3870,No,No
2023-11-18,XYZ Stores,South,Electronics,Laptop,305,1319430,1062850.04,256579.96,4969,No,Yes
2025-10-26,Global Mart,Central,Appliances,Rice 10kg,43,93697,61615.11,32081.89,3277,No,No
2024-09-19,XYZ Stores,West,Furniture,Monitor,259,667184,549389.3,117794.7,2260,No,No
2024-09-22,XYZ Stores,North,Fashion,T-Shirt,296,621304,459734.92,161569.08,3061,No,No
2024-02-26,Prime Wholesale,Central,Fashion,Washing Machine,33,109626,70867.06,38758.94,3815,No,No
2024-04-08,ABC Retail,South,Appliances,Printer,61,182695,135862.16,46832.84,2340,No,No
2024-03-04,Prime Wholesale,East,Appliances,Smartphone,305,1290150,890892.07,399257.93,3992,No,No
2025-09-16,Global Mart,Central,Fashion,Rice 10kg,87,173043,117481.15,55561.85,444,Yes,No
2023-12-21,Future Bazaar,Central,Electronics,Smartphone,352,775104,613135.38,161968.62,964,Yes,No
2023-09-27,ABC Retail,Central,Fashion,Refrigerator,369,392985,303438.46,89546.54,4136,No,No
2025-06-24,Global Mart,West,Grocery,Refrigerator,111,553890,391030.31,162859.69,3688,No,No
2025-04-15,Future Bazaar,North,Electronics,Monitor,308,775236,473187.11,302048.89,2803,No,No
2025-02-03,Future Bazaar,South,Furniture,Air Conditioner,287,426769,312193.05,114575.95,1077,Yes,Yes
2023-01-12,Prime Wholesale,Central,Appliances,Printer,377,533832,302571.39,231260.61,2303,Yes,No
2023-02-09,XYZ Stores,North,Electronics,Printer,98,181692,105980.88,75711.12,1748,No,No
2024-08-18,ABC Retail,West,Grocery,Rice 10kg,211,67309,41468.92,25840.08,4279,No,No
2024-03-08,Future Bazaar,West,Grocery,Washing Machine,396,1400652,1104514.62,296137.38,3971,No,No
2024-02-03,ABC Retail,East,Grocery,Table,310,768180,631492.08,136687.92,1456,No,No
2024-12-30,XYZ Stores,West,Appliances,Rice 10kg,210,770070,602174.18,167895.82,4403,Yes,No
2024-08-17,Prime Wholesale,North,Fashion,Refrigerator,425,1888700,1597023.5,291676.5,389,No,Yes
2024-05-30,Future Bazaar,East,Furniture,Dining Table,277,1135423,726844.04,408578.96,1721,No,No
2024-09-30,XYZ Stores,Central,Electronics,Printer,135,563625,340674.2,222950.8,3012,No,No
2024-08-02,ABC Retail,South,Fashion,Keyboard,136,35224,27804.43,7419.57,1357,No,No
2025-06-13,XYZ Stores,West,Fashion,Washing Machine,193,674149,543426.32,130722.68,2280,Yes,No
2023-02-07,Future Bazaar,West,Grocery,Sofa,311,1288162,872675.28,415486.72,1865,No,No
2024-08-06,Future Bazaar,West,Electronics,T-Shirt,252,573048,443106.36,129941.64,275,No,No
2024-05-29,Global Mart,North,Furniture,Office Chair,298,699704,465025.15,234678.85,1368,No,No
2023-05-11,XYZ Stores,West,Appliances,Smartphone,214,1026986,732721.28,294264.72,2035,Yes,No
2023-05-05,Prime Wholesale,South,Furniture,Smartphone,212,654656,521309.89,133346.11,3174,Yes,No
2024-01-06,XYZ Stores,East,Fashion,Rice 10kg,322,920598,594800.13,325797.87,1433,No,No
2025-02-04,Prime Wholesale,North,Furniture,Table,208,703664,506206.17,197457.83,1087,No,Yes
2023-01-02,ABC Retail,Central,Appliances,Mouse,272,1009392,833358.41,176033.59,1351,No,Yes
2024-09-29,Future Bazaar,South,Electronics,T-Shirt,19,25897,20117.71,5779.29,522,No,No
2024-11-26,Future Bazaar,North,Electronics,Monitor,238,851802,691815.41,159986.59,3061,No,No
2023-02-06,Global Mart,South,Grocery,Printer,339,525111,396285.15,128825.85,1382,Yes,No
2024-02-12,Future Bazaar,Central,Fashion,T-Shirt,316,1348056,1128484.72,219571.28,3006,No,No
2025-08-06,ABC Retail,South,Grocery,Dining Table,218,702396,441372.06,261023.94,3408,Yes,No
2024-12-06,XYZ Stores,North,Fashion,T-Shirt,306,1362312,799203.33,563108.67,4013,No,No
2024-07-12,Global Mart,Central,Grocery,Air Conditioner,459,203796,123101.93,80694.07,1213,Yes,No
2023-05-27,XYZ Stores,West,Appliances,Office Chair,76,354692,276002.87,78689.13,4735,Yes,No
2025-05-10,Prime Wholesale,East,Fashion,Laptop,368,1555904,1213492.08,342411.92,2910,No,No
2024-10-31,Future Bazaar,Central,Fashion,Refrigerator,207,116334,76810.6,39523.4,2252,Yes,No
2023-06-09,XYZ Stores,Central,Grocery,Washing Machine,332,1432580,1160403.31,272176.69,4076,No,No
2024-01-16,ABC Retail,South,Furniture,Monitor,63,71001,59845.18,11155.82,2170,No,No
2024-02-11,Future Bazaar,West,Appliances,Office Chair,292,858480,675486.52,182993.48,4555,Yes,No
2023-07-03,XYZ Stores,East,Furniture,Monitor,75,210900,126458.99,84441.01,4649,No,No
2024-11-14,Global Mart,North,Grocery,Keyboard,132,275220,189373.95,85846.05,4390,Yes,No
2023-10-11,Future Bazaar,West,Appliances,Laptop,318,639498,354198.31,285299.69,871,No,No
2023-04-25,XYZ Stores,South,Grocery,Rice 10kg,461,392772,315339.66,77432.34,4099,No,No
2024-08-04,Global Mart,Central,Furniture,Smartphone,188,338964,257540.64,81423.36,2302,No,No
2024-02-07,Global Mart,North,Furniture,Office Chair,242,31702,26116.36,5585.64,4019,No,Yes
2023-11-28,Future Bazaar,East,Fashion,Monitor,61,256932,172037.69,84894.31,1666,No,Yes
2023-07-14,Global Mart,North,Electronics,Laptop,150,209400,137486.65,71913.35,1356,No,Yes
2025-09-29,Future Bazaar,North,Appliances,Keyboard,315,263025,161965.92,101059.08,3181,No,No
2024-10-17,ABC Retail,East,Fashion,T-Shirt,158,389470,289784.15,99685.85,2781,No,No
2024-04-03,XYZ Stores,Central,Appliances,Printer,30,146160,98566.35,47593.65,1408,No,No
